id,id_esporte,nome,descricao,data_inicio,data_fim,status,tipo_chaveamento,data_criacao,id_campeonato_pai,id_melhor_jogador,id_melhor_goleiro,id_melhor_lateral,id_melhor_meia,id_melhor_atacante,id_melhor_artilheiro,id_melhor_assistencia,id_melhor_volante,id_melhor_estreante,id_melhor_zagueiro,id_foto_selecionada_melhor_jogador,id_foto_selecionada_melhor_goleiro,id_foto_selecionada_melhor_lateral,id_foto_selecionada_melhor_meia,id_foto_selecionada_melhor_atacante,id_foto_selecionada_melhor_artilheiro,id_foto_selecionada_melhor_assistencia,id_foto_selecionada_melhor_volante,id_foto_selecionada_melhor_estreante,id_foto_selecionada_melhor_zagueiro,id_craque,id_foto_craque,id_melhor_levantadora,id_foto_melhor_levantadora,id_melhor_libero,id_foto_melhor_libero,id_melhor_oposta,id_foto_melhor_oposta,id_melhor_ponteira,id_foto_melhor_ponteira,id_melhor_central,id_foto_melhor_central,id_maior_pontuador,id_foto_maior_pontuador,id_melhor_saque,id_foto_melhor_saque,id_melhor_bloqueio,id_foto_melhor_bloqueio,id_foto_melhor_estreante
10,1,Campeonato Listão,,2025-08-12,,Inscrições Abertas,Pontos Corridos,2025-08-12 11:27:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,2ª Copa Libertadores do Toledão,,2025-08-12,,Em Andamento,Pontos Corridos,2025-08-12 11:27:55,10,121,2023,70,65,101,65,30,37,65,118,,,27,,,,13,,,80,,,,,,,,,,,,,,,,,,,
12,1,COPA TOLEDÃO SICREDI/JACLANI ESPORTES,,2025-08-15,,Inscrições Abertas,Pontos Corridos,2025-08-12 19:29:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,CATEGORIA SUB 06,,2025-08-15,,Inscrições Abertas,Pontos Corridos,2025-08-12 19:30:29,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,CATEGORIA SUB 07,,2025-08-15,,Inscrições Abertas,Mata-Mata,2025-08-12 19:34:15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,CATEGORIA SUB 08,,2025-08-15,,Inscrições Abertas,Pontos Corridos,2025-08-12 19:36:20,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,CATEGORIA SUB 09,,2025-08-15,,Inscrições Abertas,Pontos Corridos,2025-08-12 19:37:01,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,CATEGORIA SUB 10,,2025-08-15,,Inscrições Abertas,Pontos Corridos,2025-08-12 19:37:28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,CATEGORIA SUB 11,,2025-08-15,,Inscrições Abertas,,2025-09-17 23:43:33,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,CATEGORIA SUB 12,,2025-08-15,,Inscrições Abertas,,2025-09-17 23:43:57,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,CATEGORIA SUB 13,,2025-08-15,,Inscrições Abertas,,2025-09-17 23:44:26,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,CATEGORIA SUB 14,,2025-08-15,,Inscrições Abertas,,2025-09-17 23:44:48,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2,testando_volei,,2025-10-01,,Inscrições Abertas,Mata-Mata,2025-10-19 19:24:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2,categoria_volei,,2025-10-21,,Em Andamento,Mata-Mata,2025-10-19 19:24:36,51,,,,,,,,,2014,,,,,,,,,,,,,,2013,,2012,,,,,,,,,,,,,,
